name,feature,feature_olink,code,categories,sumOfWeightsCentrality,eigenCentrality,betweennessCentrality,partition
Thrombomodulin,TM,TM,P07204,"Coagulation, Platelet activation, Wound healing",1.1893178025007758,0.02012150616407744,0.0,0
Platelet-derived growth factor subunit B,PDGF_SUBUNIT_B,PDGF subunit B,P01127,"Coagulation, Heart development, MAPK cascade, Platelet activation, Regulation of blood pressure, Response to hypoxia, Response to peptide hormone, Wound healing",2.150514168035642,0.295017308451152,0.0,1
Dickkopf-related protein 1,DKK_1,Dkk-1,O94907,Heart development,2.2028596399092653,0.2819583847181511,0.0,1
Tumor necrosis factor receptor superfamily member 13B,TNFRSF13B,TNFRSF13B,O14836,Immune response,0.44956044939063666,0.00609667426357827,0.0,0
NF-kappa-B essential modulator,NEMO,NEMO,Q9Y6K9,"Immune response, Inflammatory response, MAPK cascade",1.823444809333622,0.12050595220148719,0.08974008207934336,2
Low affinity immunoglobulin gamma Fc region receptor II-b,IGG_FC_RECEPTOR_II_B,IgG Fc receptor II-b,P31994,Immune response,0.002908526392132792,4.973170899222812e-05,0.047058823529411764,0
C-C motif chemokine 3,CCL3,CCL3,P10147,"Immune response, Inflammatory response, MAPK cascade",0.9864666746128781,0.060772528470553235,0.0,0
Carcinoembryonic antigenrelated cell adhesion molecule 8,CEACAM8,CEACAM8,P31997,Immune response,1.5093479624119255,0.12523631695937337,0.0,1
Polymeric immunoglobulin receptor,PIGR,PIgR,P01833,Immune response,1.0590485230804705,0.07334407888412477,0.0,2
Tumor necrosis factor receptor superfamily member 10A,TNFRSF10A,TNFRSF10A,O00220,"Immune response, Inflammatory response, Proteolysis",0.8518712744689769,0.011211426468599388,0.023255813953488372,0
Tumor necrosis factor receptor superfamily member 11A,TNFRSF11A,TNFRSF11A,Q9Y6Q6,"Immune response, Inflammatory response, MAPK cascade",1.603062594052402,0.03993304110339761,0.0,0
Macrophage receptor MARCO,MARCO,MARCO,Q9UEW3,Immune response,0.29054446207381357,0.007148618941555173,0.0,0
C-C motif chemokine 17,CCL17,CCL17,Q92583,"Immune response, Inflammatory response, MAPK cascade",1.027744344982979,0.12025541097947826,0.0,1
C-X-C motif chemokine 1,CXCL1,CXCL1,P09341,"Immune response, Inflammatory response",0.0007263866097626852,1.629847844258482e-05,0.30930232558139537,0
Bone morphogenetic protein 6,BMP_6,BMP-6,P22004,"Immune response, Inflammatory response, MAPK cascade",,,,
Osteoclast-associated immunoglobulin-like receptor,HOSCAR,hOSCAR,Q8IYS5,Immune response,0.5614803729874748,0.01152887933249147,0.0,0
Pentraxin-related protein PTX3,PTX3,PTX3,P26022,"Immune response, Inflammatory response",0.1636369500667578,0.012290112862154154,0.0,1
Pro-interleukin-16,IL16,IL16,Q14005,Immune response,0.53944082828098,0.020944895685032522,0.0,1
TNF-related apoptosis-inducing ligand receptor 2,TRAIL_R2,TRAIL-R2,O14763,"Immune response, Inflammatory response, Proteolysis",1.2828215991649317,0.01754580626331043,0.0,0
Interleukin-17D,IL_17D,IL-17D,Q8TAD2,Inflammatory response,0.5009018799920422,0.034641037822125055,0.0,2
Proheparin-binding EGF-like growth factor,HB_EGF,HB-EGF,Q99075,"MAPK cascade, Wound healing",2.6299236495240033,0.33447105049049564,0.023255813953488372,1
Renin,REN,REN,P00797,"MAPK cascade, Proteolysis, Regulation of blood pressure",0.06431975360454432,0.0007203435497705448,0.15129958960328316,0
Thrombopoietin,THPO,THPO,P40225,MAPK cascade,3.1149004581500814,0.2197604910851186,0.0,2
Fibroblast growth factor 21,FGF_21,FGF21,Q9NSA1,MAPK cascade,0.30450385385649925,0.016613362097581526,0.0,2
Growth hormone,GH,GH,P01241,"MAPK cascade, Response to peptide hormone",0.001600620640685281,5.2402713107438094e-05,0.13529411764705881,0
Poly [ADP-ribose] polymerase 1,PARP_1,PARP-1,P09874,"Proteolysis, Response to peptide hormone",0.11395686201163992,0.0019763176649250447,0.0,1
Chymotrypsin C,CTRC,CTRC,Q99895,Proteolysis,0.014271945565999275,0.0004893534438612316,0.023255813953488372,0
"Superoxide dismutase [Mn], mitochondrial",SOD2,SOD2,P04179,Regulation of blood pressure,0.6348957911545586,0.05032637131171096,0.0,2
Serpin A12,SERPINA12,SERPINA12,Q8IW75,Response to peptide hormone,0.0048235897920952476,0.00017528019968686594,0.06894664842681258,0
Agouti-related protein,AGRP,AGRP,O00253,Response to peptide hormone,2.008926727503764,0.1470113816261893,0.0,2
Sortilin,SORT1,SORT1,Q99523,Response to peptide hormone,1.7023815522261974,0.16925294023905765,0.0,1
Follistatin,FS,FS,P19883,Other GO terms,0.009787349971509906,0.00010471915685412203,0.566484268125855,0
Gastric intrinsic factor,GIF,GIF,P27352,Other GO terms,0.03842910325202051,0.0003347668865277463,0.0,0
"Carbonic anhydrase 5A, mitochondrial",CA5A,CA5A,P35218,Other GO terms,0.04415820029020742,0.0009164480490203152,0.04487004103967168,0
Lactoylglutathione lyase,GLO1,GLO1,Q04760,Other GO terms,0.1593650470673024,0.0068913391368435216,0.0,2
Pappalysin-1,PAPPA,PAPPA,Q13219,Other GO terms,0.0524233217984531,0.0009879201054431004,0.0,0
Prostasin,PRSS8,PRSS8 ,Q16651,Other GO terms,0.5049825113561383,0.0067635744878264395,0.0,0
Kidney Injury Molecule,KIM1,KIM1,Q96D42,Other GO terms,0.22006752732684162,0.002456179570783982,0.0,0
V-set and immunoglobulin domain-containing protein 2,VSIG2,VSIG2,Q96IQ7,Other GO terms,0.5178303919238051,0.010771640206049439,0.0,0
Serine protease 27,PRSS27,PRSS27,Q9BQR3,Other GO terms,0.189093793304289,0.01051352814591064,0.04623803009575923,1
Melusin,ITGB1BP2,ITGB1BP2,Q9UKP3,Other GO terms,0.08217758745358583,0.00444349844726017,0.0,1
